,workflow_type,task_id,time_to_buffer,dependency_wait_time,time_spent_in_queue,model_fetching_time,execution_time
75,0.0,0.0,0.004381469727377407,0.0,0.0,0.0,561.0
76,0.0,1.0,561.0070472143634,0.0,0.0,0.0,441.0
77,0.0,2.0,561.0070472143634,0.0,498.99733425536397,0.0,778.0
78,0.0,3.0,561.0043814697274,0.0,0.0,0.0,803.0
79,0.0,4.0,1002.0097129589994,835.997334255364,0.0,0.0,1.0
80,1.0,0.0,0.004381469727377407,0.0,0.0,0.0,560.0
81,1.0,1.0,560.0043814697274,0.0,778.0,0.0,27.0
82,2.0,0.0,0.48083533921453636,0.0,0.0,0.0,283.0
83,2.0,1.0,283.48835745293763,0.0,80.51602401678974,0.0,26.0
84,2.0,2.0,283.48083533921454,0.0,0.0,0.0,76.0
85,2.0,3.0,359.48083533921454,30.528307187370956,0.0,0.0,0.19999999999708962
86,3.0,0.0,0.48083533921453636,0.0,0.0,0.0,0.5999999999985448
87,3.0,1.0,1.911152397551632,0.0,0.0,0.0,178.0
88,3.0,2.0,1.911152397551632,0.0,0.0,0.0,147.0
89,3.0,3.0,149.74146945589018,30.16968294166145,0.0,0.0,104.0
90,0.0,0.0,0.004381469727377407,0.0,0.0,0.0,561.0
91,0.0,1.0,561.0070472143634,0.0,0.0,0.0,441.0
92,0.0,2.0,561.0070472143634,0.0,498.99733425536397,0.0,778.0
93,0.0,3.0,561.0043814697274,0.0,0.0,0.0,803.0
94,0.0,4.0,1002.0097129589994,835.997334255364,0.0,0.0,1.0
95,1.0,0.0,0.004381469727377407,0.0,0.0,0.0,560.0
96,1.0,1.0,560.0043814697274,0.0,778.0,0.0,27.0
97,2.0,0.0,0.48083533921453636,0.0,0.0,0.0,283.0
98,2.0,1.0,283.48835745293763,0.0,80.51602401678974,0.0,26.0
99,2.0,2.0,283.48083533921454,0.0,0.0,0.0,76.0
100,2.0,3.0,359.48083533921454,30.528307187370956,0.0,0.0,0.19999999999708962
101,3.0,0.0,0.48083533921453636,0.0,0.0,0.0,0.5999999999985448
102,3.0,1.0,1.911152397551632,0.0,0.0,0.0,178.0
103,3.0,2.0,1.911152397551632,0.0,0.0,0.0,147.0
104,3.0,3.0,149.74146945589018,30.16968294166145,0.0,0.0,104.0
105,0.0,0.0,0.004381469727377407,0.0,0.0,0.0,561.0
106,0.0,1.0,561.0070472143634,0.0,0.0,0.0,441.0
107,0.0,2.0,561.0070472143634,0.0,498.99733425536397,0.0,778.0
108,0.0,3.0,561.0043814697274,0.0,0.0,0.0,803.0
109,0.0,4.0,1002.0097129589994,835.9973342553567,0.0,0.0,1.0
110,1.0,0.0,0.004381469727377407,0.0,0.0,0.0,560.0
111,1.0,1.0,560.0043814697274,0.0,778.0,0.0,27.0
112,2.0,0.0,0.48083533921453636,0.0,0.0,0.0,283.0
113,2.0,1.0,283.48835745293763,0.0,80.51602401678974,0.0,26.0
114,2.0,2.0,283.48083533921454,0.0,0.0,0.0,76.0
115,2.0,3.0,359.48083533921454,30.528307187370956,0.0,0.0,0.19999999999708962
116,3.0,0.0,0.48083533921453636,0.0,0.0,0.0,0.5999999999985448
117,3.0,1.0,1.911152397551632,0.0,0.0,0.0,177.99999999999272
118,3.0,2.0,1.911152397551632,0.0,0.0,0.0,146.99999999999272
119,3.0,3.0,149.7414694558829,30.16968294166145,0.0,0.0,104.0
120,0.0,0.0,0.004381469712825492,0.0,0.0,0.0,561.0
121,0.0,1.0,561.0070472143416,0.0,0.0,0.0,441.0
122,0.0,2.0,561.0070472143416,0.0,498.99733425537124,0.0,778.0
123,0.0,3.0,561.0043814697128,0.0,0.0,0.0,803.0
124,0.0,4.0,1002.0097129589703,835.9973342553712,0.0,0.0,1.0
